formation,permaticker,deploy_date,scheduled_exit_date,last_trade_date,event_type,note
2015-09-30,198117,2015-10-01,2016-04-01,2016-02-19,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,198590,2015-10-01,2016-04-01,2015-12-24,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,199354,2015-10-01,2016-04-01,2015-11-18,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,199415,2015-10-01,2016-04-01,2016-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,199850,2015-10-01,2016-04-01,2016-01-14,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,119350,2016-01-04,2016-07-01,2016-05-27,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,191948,2016-01-04,2016-07-01,2016-04-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,194291,2016-01-04,2016-07-01,2016-05-17,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,195861,2016-01-04,2016-07-01,2016-03-23,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,196660,2016-01-04,2016-07-01,2016-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,196674,2016-01-04,2016-07-01,2016-06-20,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,197152,2016-01-04,2016-07-01,2016-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,197210,2016-01-04,2016-07-01,2016-05-11,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,197286,2016-01-04,2016-07-01,2016-04-01,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,197592,2016-01-04,2016-07-01,2016-03-02,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,198117,2016-01-04,2016-07-01,2016-02-19,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,198401,2016-01-04,2016-07-01,2016-05-20,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,199049,2016-01-04,2016-07-01,2016-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,199415,2016-01-04,2016-07-01,2016-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-12-31,199850,2016-01-04,2016-07-01,2016-01-14,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
